# Region      : cellSet disk2
# Cells       : 198
# Volume      : 1.552222e+05
# Time        	volAverage(U)	volAverage(k)
10            	(4.382358e+00 3.612382e-05 8.679984e-02)	8.341992e-01
20            	(4.350713e+00 1.189121e-04 7.874859e-02)	1.305345e+00
30            	(4.277993e+00 8.764904e-05 3.282334e-02)	1.662427e+00
40            	(4.061968e+00 -4.336749e-05 -1.195407e-02)	1.994465e+00
50            	(3.784339e+00 -5.209791e-05 2.332003e-02)	2.213897e+00
60            	(3.588767e+00 -6.604573e-05 6.687990e-02)	2.303513e+00
70            	(3.490399e+00 3.872107e-06 6.938182e-02)	2.348604e+00
80            	(3.435049e+00 1.121348e-05 6.234771e-02)	2.383536e+00
90            	(3.400619e+00 7.903631e-06 5.466319e-02)	2.410868e+00
100           	(3.378881e+00 3.607934e-06 4.737159e-02)	2.430763e+00
110           	(3.365478e+00 1.299421e-06 4.146218e-02)	2.443884e+00
120           	(3.357225e+00 5.462200e-07 3.744786e-02)	2.451609e+00
130           	(3.351771e+00 4.165143e-07 3.526253e-02)	2.455829e+00
140           	(3.347691e+00 3.797487e-07 3.442344e-02)	2.458051e+00
150           	(3.344295e+00 2.938193e-07 3.440575e-02)	2.459313e+00
160           	(3.341336e+00 1.742518e-07 3.479771e-02)	2.460170e+00
170           	(3.338754e+00 5.364812e-08 3.535113e-02)	2.460850e+00
180           	(3.336527e+00 -3.426565e-08 3.594121e-02)	2.461420e+00
190           	(3.334628e+00 -8.097010e-08 3.651081e-02)	2.461893e+00
200           	(3.333017e+00 -8.999300e-08 3.703468e-02)	2.462282e+00
210           	(3.331650e+00 -7.238268e-08 3.749930e-02)	2.462600e+00
220           	(3.330491e+00 -4.433369e-08 3.789967e-02)	2.462860e+00
230           	(3.329505e+00 -1.906614e-08 3.823678e-02)	2.463072e+00
240           	(3.328666e+00 7.769939e-10 3.851572e-02)	2.463247e+00
250           	(3.327953e+00 1.203190e-08 3.874389e-02)	2.463391e+00
260           	(3.327345e+00 1.816428e-08 3.892959e-02)	2.463510e+00
270           	(3.326828e+00 2.087360e-08 3.908062e-02)	2.463609e+00
280           	(3.326386e+00 1.949723e-08 3.920379e-02)	2.463691e+00
290           	(3.326008e+00 1.702997e-08 3.930467e-02)	2.463760e+00
300           	(3.325685e+00 1.434918e-08 3.938773e-02)	2.463817e+00
310           	(3.325408e+00 1.184247e-08 3.945651e-02)	2.463864e+00
320           	(3.325171e+00 9.658701e-09 3.951379e-02)	2.463904e+00
330           	(3.324966e+00 7.888918e-09 3.956174e-02)	2.463938e+00
340           	(3.324790e+00 6.488222e-09 3.960208e-02)	2.463966e+00
350           	(3.324638e+00 5.381556e-09 3.963617e-02)	2.463990e+00
360           	(3.324507e+00 4.532129e-09 3.966510e-02)	2.464011e+00
370           	(3.324394e+00 3.920314e-09 3.968973e-02)	2.464028e+00
380           	(3.324296e+00 3.518308e-09 3.971077e-02)	2.464042e+00
390           	(3.324211e+00 3.272429e-09 3.972879e-02)	2.464055e+00
400           	(3.324137e+00 3.136412e-09 3.974426e-02)	2.464065e+00
410           	(3.324073e+00 3.050021e-09 3.975758e-02)	2.464074e+00
420           	(3.324017e+00 2.998852e-09 3.976906e-02)	2.464082e+00
430           	(3.323969e+00 2.954052e-09 3.977898e-02)	2.464088e+00
440           	(3.323927e+00 2.907193e-09 3.978755e-02)	2.464094e+00
450           	(3.323891e+00 2.852566e-09 3.979498e-02)	2.464099e+00
460           	(3.323859e+00 2.789785e-09 3.980142e-02)	2.464103e+00
470           	(3.323831e+00 2.719649e-09 3.980702e-02)	2.464106e+00
480           	(3.323807e+00 2.639203e-09 3.981187e-02)	2.464109e+00
490           	(3.323786e+00 2.563034e-09 3.981610e-02)	2.464112e+00
500           	(3.323768e+00 2.481060e-09 3.981977e-02)	2.464114e+00
