Points_0,Points_1,Points_2,TI,U_0,U_1,U_2,U_Magnitude,k,p
-1260,-1008,90.314,0.0800919,8.00313,0,0,8.00313,0.615812,0.134443
-1214.85,-1008,90.314,0.0800921,8.00317,-5.62787e-05,3.31348e-05,8.00317,0.615816,0.134139
-1173.81,-1008,90.314,0.0800923,8.00319,-0.000105525,3.622e-05,8.00319,0.615818,0.134011
-1136.49,-1008,90.314,0.0800924,8.0032,-0.000154166,4.42076e-05,8.0032,0.61582,0.13405
-1102.55,-1008,90.314,0.0800925,8.00319,-0.000185357,2.3597e-05,8.00319,0.615821,0.134026
-1071.7,-1008,90.314,0.0800926,8.00318,-0.000219334,3.49935e-05,8.00318,0.615823,0.134137
-1043.65,-1008,90.314,0.0800927,8.00319,-0.000245321,4.12252e-05,8.00319,0.615824,0.134165
-1018.14,-1008,90.314,0.0800928,8.00319,-0.000286024,5.72946e-05,8.00319,0.615826,0.134197
-994.954,-1008,90.314,0.0800929,8.00319,-0.000320335,7.2413e-05,8.00319,0.615827,0.134184
-973.87,-1008,90.314,0.080093,8.00319,-0.000346539,8.91219e-05,8.00319,0.615829,0.134169
-954.7,-1008,90.314,0.0800931,8.00319,-0.000380779,0.000112406,8.00319,0.61583,0.13412
-937.27,-1008,90.314,0.0800932,8.0032,-0.000406491,0.000131523,8.0032,0.615832,0.134014
-921.422,-1008,90.314,0.0800932,8.00321,-0.000432371,0.000149933,8.00321,0.615833,0.133912
-907.013,-1008,90.314,0.0800933,8.00322,-0.000457164,0.000167843,8.00322,0.615834,0.133806
-893.912,-1008,90.314,0.0800934,8.00324,-0.000479352,0.000183305,8.00324,0.615835,0.133682
-882,-1008,90.314,0.0800934,8.00325,-0.000500998,0.000198154,8.00325,0.615836,0.133541
-869.4,-1008,90.314,0.0800935,8.00327,-0.000523522,0.000213701,8.00327,0.615837,0.133387
-856.8,-1008,90.314,0.0800935,8.00329,-0.000546704,0.000230113,8.00329,0.615838,0.133218
-844.2,-1008,90.314,0.0800936,8.00331,-0.000570617,0.000247029,8.00331,0.615838,0.133034
-831.6,-1008,90.314,0.0800936,8.00333,-0.000595375,0.00026409,8.00333,0.615839,0.132834
-819,-1008,90.314,0.0800937,8.00336,-0.00062082,0.00028132,8.00336,0.615839,0.132615
-806.4,-1008,90.314,0.0800937,8.00338,-0.000647118,0.000298798,8.00338,0.61584,0.132377
-793.8,-1008,90.314,0.0800937,8.00341,-0.00067439,0.0003166,8.00341,0.61584,0.13212
-781.2,-1008,90.314,0.0800937,8.00344,-0.000702672,0.000334685,8.00344,0.61584,0.131843
-768.6,-1008,90.314,0.0800937,8.00348,-0.00073196,0.000353083,8.00348,0.61584,0.131543
-756,-1008,90.314,0.0800937,8.00352,-0.000762301,0.00037174,8.00352,0.61584,0.131221
-743.4,-1008,90.314,0.0800937,8.00356,-0.00079362,0.000390661,8.00356,0.61584,0.130875
-730.8,-1008,90.314,0.0800937,8.0036,-0.000825979,0.000409808,8.0036,0.615839,0.130506
-718.2,-1008,90.314,0.0800936,8.00364,-0.000859345,0.000429154,8.00364,0.615839,0.130111
-705.6,-1008,90.314,0.0800936,8.00369,-0.000893604,0.000448706,8.00369,0.615838,0.12969
-693,-1008,90.314,0.0800935,8.00374,-0.000928805,0.00046843,8.00374,0.615837,0.129242
-680.4,-1008,90.314,0.0800934,8.0038,-0.000964787,0.000488301,8.0038,0.615836,0.128765
-667.8,-1008,90.314,0.0800933,8.00386,-0.00100146,0.000508302,8.00386,0.615834,0.128259
-655.2,-1008,90.314,0.0800932,8.00392,-0.00103871,0.000528439,8.00392,0.615832,0.127723
