# Region      : cellSet disk1
# Cells       : 162
# Volume      : 1.608592e+05
# Time        	volAverage(U)	volAverage(k)
10            	(4.919365e+00 -1.744943e-03 6.916284e-02)	7.219377e-01
20            	(4.610934e+00 -2.225448e-03 7.262527e-02)	7.335301e-01
30            	(4.513920e+00 9.935174e-04 8.143870e-02)	7.404331e-01
40            	(4.464562e+00 -5.542221e-04 8.407018e-02)	7.433458e-01
50            	(4.442519e+00 1.655140e-03 8.807848e-02)	7.447463e-01
60            	(4.427986e+00 2.353630e-03 8.696658e-02)	7.457036e-01
70            	(4.419009e+00 -1.022230e-03 8.777864e-02)	7.459781e-01
80            	(4.403737e+00 -8.686377e-04 8.745464e-02)	7.471108e-01
90            	(4.404318e+00 -2.397577e-03 9.113684e-02)	7.467732e-01
100           	(4.396020e+00 -5.921337e-04 8.975128e-02)	7.473445e-01
110           	(4.392212e+00 -2.890926e-03 8.268878e-02)	7.476238e-01
120           	(4.394013e+00 3.321391e-03 8.694007e-02)	7.469870e-01
130           	(4.393044e+00 1.723320e-03 9.005945e-02)	7.472566e-01
140           	(4.393495e+00 -2.256053e-03 9.306800e-02)	7.471490e-01
150           	(4.388045e+00 7.089644e-04 8.923782e-02)	7.477252e-01
160           	(4.388279e+00 -1.510882e-03 8.992792e-02)	7.476122e-01
170           	(4.386936e+00 1.687172e-03 9.107282e-02)	7.481579e-01
180           	(4.386109e+00 -9.249831e-06 8.844235e-02)	7.478257e-01
190           	(4.387416e+00 1.547130e-04 8.396251e-02)	7.477215e-01
200           	(4.389327e+00 -2.465351e-03 8.611854e-02)	7.468847e-01
210           	(4.390583e+00 -2.612204e-03 8.966870e-02)	7.470430e-01
220           	(4.388330e+00 -1.084324e-03 9.521672e-02)	7.476209e-01
230           	(4.389257e+00 8.494962e-04 9.164189e-02)	7.474036e-01
240           	(4.388138e+00 -4.488620e-04 9.095398e-02)	7.474548e-01
250           	(4.392448e+00 -7.458144e-04 9.206766e-02)	7.471053e-01
260           	(4.384732e+00 2.079346e-03 9.127360e-02)	7.478944e-01
270           	(4.387494e+00 1.029144e-03 8.619590e-02)	7.476914e-01
280           	(4.387063e+00 -4.558627e-03 9.029604e-02)	7.479469e-01
290           	(4.388623e+00 -1.048981e-03 9.046394e-02)	7.475383e-01
300           	(4.380588e+00 2.485147e-03 8.717402e-02)	7.488375e-01
310           	(4.384656e+00 4.513227e-05 8.980350e-02)	7.484591e-01
320           	(4.385957e+00 1.495172e-03 8.365034e-02)	7.480651e-01
330           	(4.385936e+00 1.865980e-03 9.022693e-02)	7.483824e-01
340           	(4.383452e+00 4.480502e-04 8.648558e-02)	7.486277e-01
350           	(4.385162e+00 -6.776389e-04 9.154862e-02)	7.481669e-01
360           	(4.391597e+00 -2.004890e-03 9.035232e-02)	7.478883e-01
370           	(4.387032e+00 -3.228290e-04 8.944537e-02)	7.476837e-01
380           	(4.386828e+00 -5.515896e-04 8.650051e-02)	7.477555e-01
390           	(4.388532e+00 -2.724396e-03 8.722244e-02)	7.477632e-01
400           	(4.388286e+00 2.361241e-04 9.036270e-02)	7.474452e-01
410           	(4.387490e+00 3.233474e-04 9.331020e-02)	7.474684e-01
420           	(4.390076e+00 5.135675e-04 8.826798e-02)	7.475791e-01
430           	(4.387995e+00 -6.819560e-04 9.062430e-02)	7.478700e-01
440           	(4.386199e+00 6.325379e-04 8.783045e-02)	7.473681e-01
450           	(4.388243e+00 1.211809e-03 8.631975e-02)	7.471725e-01
460           	(4.384313e+00 5.898613e-04 8.983312e-02)	7.479852e-01
470           	(4.385963e+00 2.821634e-03 8.600211e-02)	7.479466e-01
480           	(4.385270e+00 -8.383965e-04 9.247632e-02)	7.475925e-01
490           	(4.387139e+00 -1.268108e-03 8.445342e-02)	7.477195e-01
500           	(4.385304e+00 7.770787e-04 9.336811e-02)	7.475681e-01
